index,nom,titre,motCles,periode,dateNaissance,dateMort,dateApprox,lieu,adresse,latitude,longitude,miniBio,lienPhoto,lienWiki
1,Les soeurs de l'évêque de Lodève Saint Fulcran,,"légende, Melgueil, origines de Montpellier",1,,,950,"Lodève, Melgeuil",Lodève,43.739048 ,3.307840 ,"Fondatrices légendaires de la ville de Montpellier, les deux sœurs auraient donné des terres à l'évêque de Maguelone, qui ensuite les aurait offertes au chevalier Gui en échange de sa fidélité  ; le seigneur Gui serait ainsi le premier seigneur de Montpellier, sous le nom de Guilhem.
Elles auraient vécu durant la deuxième moitié du Xe siècle, dans la région de Lodève où se trouve leur frère, ou bien à Melgueil (Mauguio) auprès de leur mère. Certaines légendes disent qu'elles ont vécu recluses à proximité de Montpellier.",,
2,La belle Maguelonne,,"légende, princesse, cathédrale de Maguelone",1,,,1000,île de Maguelone,île de Maguelone,43.512834 ,3.883377,"Princesse de Naples, elle est l'amante de Pierre, comte de Provence, et la fondatrice légendaire de la cathédrale de Maguelone. La légende est connue au moins depuis le XVe siècle, mais Maguelone est censée avoir vécu au XIe siècle. Son lieu de résidence est l'île de Maguelone.",https://fr.wikipedia.org/wiki/L%C3%A9gende_de_la_Belle_Maguelone,https://fr.wikipedia.org/wiki/L%C3%A9gende_de_la_Belle_Maguelone
3,Marie de Montpellier,,reine,2,1182,1213,,Montpellier,,,,"Née vers 1182/83, elle est la fille unique de Guilhem VIII, seigneur de Montpellier, et d'Eudoxie Comnène, nièce de l'empereur de Byzance.
Dernière descendante de la famille des  Guilhem, seigneurs de  Montpellier, elle est mariée de force par son père, répudiée par son second mari. Ecartée de la succession par son père, elle devient malgré tout seigneur de Montpellier en 1204. Elle épouse alors en troisièmes noces le roi Pierre d’Aragon, ce qui lui confère le titre de reine, mais l’oblige à concéder la seigneurie de Montpellier à son mari. En 1208, elle donne naissance à un garçon, le célèbre Jacques d’Aragon. Elle décède à Rome de maladie en 1213. Elle est l’héroïne d’un opéra contemporain, composé par René Koering en 1994.", https://fr.wikipedia.org/wiki/Marie_de_Montpellier, https://fr.wikipedia.org/wiki/Marie_de_Montpellier
4,Jeanne de Sos,,"juif, platter, médecin",3,,,1500,Montpellier,,,,"Femme du 16e siècle, elle est issue des milieux crypto-juifs de Montpellier  ; elle est la fille du médecin montpelliérain Pierre de Sos et l’épouse du docteur Saporta. Félix Platter, étudiant suisse venu faire ses études de médecine à Montpellier, raconte être tombé sous le charme de sa « beauté angélique ».",,
5,Madame Béatrix,,"femme du peuple, infanticide, condamnée à mort",3,,1556,,Montpellier,,,,"Elle est la servante de Laurent Catalan, un pharmacien qui héberge l’étudiant suisse Félix Platter. La jeune femme est condamnée à mort et pendue le 3 décembre 1556 à Montpellier, pour avoir tué le nouveau-né qu’elle a eu avec son amant, un ecclésiastique qui lui n’est pas inquiété.",,
6,Francèse de Cézelli,,"aristocrate, symbole, femme d'engagement",3,1558,1615,,"4 rue du Petit-Scel, Montpellier","4 rue du Petit-Scel, Montpellier",43.610831,3.874589,"Née en 1558 et morte en 1615, elle est surnommée la «  Jeanne d’Arc languedocienne ». C'est la fille de Jean de Cézelli président de la chambre des comptes de Montpellier et de Marguerite de Beauvoir de Grimoard du Roure. Son mari Jean Antoine de Bourcier de Pontant gouverneur de la place de Leucate a été capturé par des espagnols. En 1589, elle refuse d’échanger Leucate contre la libération de son mari, prisonnier des Espagnols et exécuté peu après. Elle s’est imposée comme une figure-symbole de courage et d’honneur au féminin. Le roi Henri IV aurait dit à son sujet  : «  Je me fie plus à cette femme qu’au plus habile homme de mon royaume. Après tout, il est de la gloire de la France que l’on sache que les Dames y valent les Capitaines  ».
Sur la façade de sa maison natale, 4 rue du Petit-Scel à Montpellier, une plaque indique : « Ici vécut Francèse de Cézelli, nommée en 1590 gouverneur par le roi de la place de Leucate qu’elle avait héroïquement défendue et gardée, refusant de la rendre en échange de la vie de son mari prisonnier. »",https://www.abebooks.fr/Franc%C3%A8se-C%C3%A9zelli-mai-1558-octobre-1615/17001354259/bd,
7,Elisabeth Bouissonnade,,"femme du peuple, symbole, Louis XIV, révolte de femmes, condamnée à mort, féministe, femme d'engagement",4,,1647,,Montpellier,,,,"Lors de «  la sédition des Partisans  » en 1645, appelée aussi la «  sédition des femmes  », le peuple refuse de payer l’impôt exceptionnel levé lors de l’avènement de Louis XIV. En proie à la misère, les femmes s’assemblent autour d’Elisabeth Bouissonnade, surnommée la Branlaïre. Durant plusieurs jours, les mutinées pourchassent les fermiers de l’impôt royal, pillent et brûlent leurs maisons. Arrêtée et condamnée, Elisabeth Bouissonnade est pendue en place publique en 1647.",,https://fr.wikipedia.org/wiki/%C3%89lisabeth_Bouissonade
8,Madame de Sévigné,,"aristocrate, écrivaine, salonnière",4,1626,1696,,Paris,,,,"Née en 1626, Marie de Rabutin-Chantal, issue de la noblesse, se marie avec Henry de Sévigné, qui possède le fief de Sévigné. Connue pour sa correspondance avec sa fille, Françoise Marguerite de Sévigné, elle devient une des écrivaines les plus célèbres du 17e siècle. Venue à Montpellier pour consulter des spécialistes de la médecine, elle séjourne en 1672 chez madame la présidente de la Roche, 13 rue de la Croix d’or, où elle rencontre Madame de Castries et son frère le cardinal de Bonzi. Elle meurt en 1696.",https://fr.wikipedia.org/wiki/Madame_de_S%C3%A9vign%C3%A9,https://fr.wikipedia.org/wiki/Madame_de_S%C3%A9vign%C3%A9
9,Madame Dunoyer,,"écrivaine, journaliste, bourgeoise, protestante, voyageuse, Gévaudan",4,1663,1719,,Nîmes,Nîmes,43.836799,4.359864,"Anne-Marguerite Petit, épouse Dunoyer, est née le 12 juin 1663 à Nîmes, dans la bourgeoisie protestante. Journaliste et voyageuse, elle est l’auteure des Lettres historiques et galantes, où elle raconte ses différents voyages et ses séjours dans le Midi de la France  ; elle rapporte notamment ses rencontres avec les sœurs Gévaudan, de Montpellier  : Jeanne de Gévaudan, comtesse de Ganges, et Gabrielle de Gévaudan, épouse d’Henry de Mariotte. Aux yeux de Madame Dunoyer, Gabrielle de Gévaudan avait les capacités pour diriger un empire  !
Madame Dunoyer meurt en 1719.",https://fr.wikipedia.org/wiki/Anne-Marguerite_Petit_Dunoyer,https://fr.wikipedia.org/wiki/Anne-Marguerite_Petit_Dunoyer
10,Anne-Marie-Louise d'Orléans,Duchesse de Montpensier,"aristocrate, Louis XIV, la Grande Mademoiselle",4,1627,1693,,Versailles,,,,"Anne-Marie-Louise d'Orléans (1627-1693) est la fille de Gaston de France, Duc d’Orléans, et la cousine germaine du Roi Louis XIV. Duchesse de Montpensier, elle est surnommée «  la Grande Mademoiselle  ».
Elle séjourne quelques jours à Montpellier et est invitée au bal de Madame de La Motte-Argencourt. Selon ses Mémoires, la « Grande Mademoiselle » tient à se faire son opinion sur la beauté des dames de Montpellier, dont la réputation est parvenue jusqu’aux oreilles des membres de la cour de Versailles.",https://fr.wikipedia.org/wiki/Anne-Marie-Louise_d%27Orl%C3%A9ans,https://fr.wikipedia.org/wiki/Anne-Marie-Louise_d%27Orl%C3%A9ans
